program_name,state,city,zip_codes,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
Florida Keys Electric Cooperative - Solar Loan Program,Florida,,,Finance Solutions,Utility,"Florida Keys Electric Cooperative (FKEC) offers a loan program for the purchase and installation of a grid-tied Distributed Energy Resource (DER) system. This can be both a battery storage system or a photovoltaic system. This program is offered to both residential and commercial customers. To participate, customers must have a ""clean"" billing history with FKEC for at least 12 months for residential customers and at least 24 months for commercial customers.",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/22118
Lakeland Electric - Residential Energy Efficiency Loan Program,Florida,,,Finance Solutions,Utility,"Lakeland Electric offers a zero-interest loan program to its customers who wish to make energy efficiency upgrades. Eligible measures include windows, HVAC, heat pump water heaters, air sealing and insulation, solar PV, geothermal heat pumps, and solar water heater systems. The minimum loan amount is $500 and the maximum is $5,000. There is also a one-time filing fee that will be applied to a customer's utility bill. For a $5,000 loan, this fee has been around $90.50. Loans are repaid monthly after the project has been completed.",,"$500, $5,000, $5,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/22120
Solar and CHP Sales Tax Exemption,Florida,,,Tax Credits,State,"Solar energy systems have been exempt from Florida's sales and use tax since July 1, 1997. The term ""solar energy system"" means the equipment and requisite hardware that provide and are used for collecting, transferring, converting, storing, or using incidental solar energy for water heating, space heating and cooling, or other applications that would otherwise require the use of a conventional source of energy such as petroleum products, natural gas, manufactured gas or electricity. This exemption was originally set to expire on July 1, 2002, but it was extended for three more three years. In May 2005, the exemption was made permanent upon the enactment of H.B. 805. In addition, the exemption applies to machinery and equipment used at a fixed location for the purpose of producing elect...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/243
Fuel Mix Disclosure,Florida,,,,State,"In March 1999, the Florida Public Service Commission issued an order requiring the state's investor-owned electric utilities, which serve about 80% to 85% of the state's electric customers, to provide information on their fuel mix to customers on a quarterly basis, effective April 18, 1999. This legislation was updated on February 1, 2016. The information must be included as a bill insert or on the bill itself, and must be based on data available for the most recent 12-month period. A standard label is not required. Florida was the first state to institute an environmental-disclosure requirement without restructuring its electricity market.",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/533
Interconnection Standards,Florida,,,,State,"In March 2008, the Florida Public Service Commission (PSC) adopted interconnection rules for renewable-energy systems up to two megawatts (MW) in capacity. The PSC rules apply only to the state's investor-owned utilities; the rules do not apply to electric cooperatives or municipal utilities. Florida's interconnection rules include provisions for three tiers of renewable-energy systems: Tier 1: 10 kilowatts (kW) or less Tier 2: Larger than 10 kW, but not larger than 100 kW Tier 3: Larger than 100 kW, but not larger than 2 MW To qualify for expedited interconnection under the PSC rules, the customer-owned renewable generation must have a gross power rating that does not exceed 90% of the customer’s utility distribution service rating. Tier 1 applicants are not subject to application fees...",,"$1, $2",,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/2882
Florida PACE programs,Florida,,,Finance Solutions,State,"Note: In 2010, the Federal Housing Finance Agency (FHFA), which has authority over mortgage underwriters Fannie Mae and Freddie Mac, directed these enterprises against purchasing mortgages of homes with a PACE lien due to its senior status above a mortgage. Most residential PACE activity subsided following this directive; however, some residential PACE programs are now operating with loan loss reserve funds, appropriate disclosures, or other protections meant to address FHFA's concerns. Commercial PACE programs were not directly affected by FHFA’s actions, as Fannie Mae and Freddie Mac do not underwrite commercial mortgages. Visit PACENation for more information about PACE financing, and for a comprehensive list of all PACE programs across the country. Property-Assessed Clean Energy (PA...",,"$200,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/3869
Property Tax Abatement for Renewable Energy Property,Florida,,,Tax Credits,State,"Florida provides a 100% property tax exemption for residential renewable energy property and an 80% property tax abatement for non-residential renewable energy property. Eligible renewable energy property includes solar photovoltaic (PV) systems, solar PV plus storage systems, wind energy systems, solar water heaters, and geothermal heat pumps installed on or after January 1, 2013. For the purpose of assessing property taxes for a home, an increase in the just value of the property attributable to the installation of this equipment should be ignored. The exemption applies to the following types of equipment used as part of a solar, wind or geothermal system: Solar energy collectors, photovoltaic modules, and inverters. Storage tanks and other storage systems, excluding swimming pools us...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/5426
Florida - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,Florida,,,Grants,State,"The Florida Department of Transportation's (DOT) strategy for funding deployment begins in FY22, which will focus on planning. With federal funding unlocked for FY23, the state will also focus on procurement and implementation of charging infrastructure. As the state nears FY25 and FY26, NEVI funding will be utilized for operations and maintenance of infrastructure, with additional opportunities for funding to be analyzed through the next five years. The state will add about 6,772 charging ports across 6,244 miles of designated EV corridors. The DOT's advertising for Phase 1 Request for Applications (RFAs) started in Summer 2023 and was published then as well; Phase 2 is anticipated to follow Phase 1. Phase 1 will focus on interstates statewide, and Phase 2 will include non-interstate A...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/22634
Net Metering,Florida,,,,State,"The Florida Public Service Commission (PSC) adopted rules for net metering and interconnection for renewable-energy systems up to 2 MW in capacity for investor owned utilities and also requires municipal utilities and electric cooperatives to offer net metering without stipulating standards. Net metering is available to customers who generate electricity using solar energy, geothermal energy, wind energy, biomass energy, ocean energy, hydrogen, waste heat or hydroelectric power. Utilities must file annual reports with the Florida PSC indicating the number of customer-generators and the size, type and location of their renewable energy systems, the aggregate capacity of net-metered generation, the amount of energy delivered to and generated from interconnected customers, and the total en...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/2880
Energy Efficiency Goals,Florida,,,,State,"Origin In 1980, Florida enacted the Florida Energy Efficiency and Conservation Act (FEECA), creating Florida Statutes Section 366.80-366.853 and Section 403.519. Section 366.82(6) requires the Florida Public Service Commission to review the conservation goals of each utility subject to FEECA at least every five years. Utilities whose annual sales amount to less than 2,000 GWh as of July 1, 1993, are not subject to FEECA. This leaves all five Florida investor-owned utilities (Florida Power & Light Company, Progress Energy Florida Inc., Tampa Electric Company, Gulf Power Company, and Florida Public Utilities Company) and two municipal utilities (Orlando Utilities Commission and Jacksonville Electric Authority) under the authority of the law. In December 2014 the Florida Public Service Com...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/4505
Orlando Utilities Commission - Solar Programs,Florida,,,Investments,Utility,"The Orlando Utilities Commission (OUC) offers a rebate program for customers who install solar thermal water heaters, helping to reduce the upfront costs of adopting this sustainable technology. The program provides financial incentives to encourage energy-efficient water heating, which can lower energy bills and reduce environmental impact. To take advantage of this opportunity, customers must meet specific eligibility requirements and follow the application process outlined on the OUC website. Start saving on energy costs and contribute to a greener future by applying for the OUC Solar Thermal Water Heater Rebate today!",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/2867
Modified Accelerated Cost-Recovery System (MACRS),Florida,,,,Federal,"Note: The One Big Beautiful Bill ( OBBB ) repealed the ability for ""energy property"" to qualify for the 5-year Modified Accelerated Cost-Recovery System (MACRS). Instead, the OBBB permanently restored 100% bonus depreciation in year one. The summary below discusses MACRS as it existed for energy property prior to the enactment of the OBBB. Prior to the OBBB, The Tax Cuts and Jobs Act of 2017 increased bonus depreciation to 100% for qualified property acquired and placed in service after September 27, 2017 and before January 1, 2023. Bonus depreciation steps down by 20% each year beginning with 80% in 2023. Under the federal Modified Accelerated Cost-Recovery System (MACRS), businesses may recover investments in certain property through depreciation deductions. The MACRS establishes a se...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/676
Alternative Fuel Vehicle Refueling Property Tax Credit (Corporate),Florida,,,Tax Credits,Federal,"Note: Section 70504 of The One Big Beautiful Bill ( OBBB ) repealed this tax credit for equipment placed in service after June 30, 2026. P rior to enactment of the OBBB, Section 13404 of The Inflation Reduction Act of 2022 ( H.R. 5376 ) modified and extended the expiration date for the Alternative Fuel Vehicle Refueling Property Credit. Among other changes, it reduced the base tax credit from 30% to 6%, but allows the full 30% for projects that meet certain labor standards. The summary below described the credit as modified by H.R. 5376. Qualified alternative fuel vehicle refueling equipment, including electric vehicle charging equipment, is eligible for a tax credit of 6% up to $100,000 for each single item of property. Projects that meet the following wage and apprenticeship requireme...",,"$100,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/22474
Alternative Fuel Vehicle Refueling Property Tax Credit (Personal),Florida,,,Tax Credits,Federal,"Note: Section 70504 of The One Big Beautiful Bill ( OBBB ) repealed this tax credit for equipment placed in service after June 30, 2026. Qualified alternative fuel vehicle refueling equipment not subject to depreciation allowances, including electric vehicle charging equipment, is eligible for a tax credit of 30% up to $1,000. These projects do not have to meet the same labor standards as commercial projects in order to qualify for the full 30% tax credit. Section 13801 of The Inflation Reduction Act of 2022 also established procedures for other parties to monetize certain tax credits, including this one, for equipment placed in service on or after January 1, 2023 and through December 31, 2032. The expiration date was later changed to June 30, 2026. The direct pay option allows non-taxa...",,"$1,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/22475
Plug-In Electric Drive Vehicle Tax Credit,Florida,,,Tax Credits,Federal,"Note: Section 70502 of The One Big Beautiful Bill ( OBBB ) repealed this tax credit for equipment placed in service after September 30, 2025. Vehicles placed into service prior to January 1, 2023: The federal government provides a tax credit for the purchase of a new all electric or plug-in hybrid electric vehicle. To qualify, the vehicle must be made by a manufacturer, have a gross vehicle weight rating of not more than 14,000 pounds, and be propelled to a significant extent by an electric motor which draws electricity from a battery which has a capacity of at least 4 kilowatt-hours (kWh) and is capable of being recharged from an external source. The credit has a base value of $2,500, and an additional value based on the capacity of the battery. The capacity-based credit is $417 for ea...",,"$2,500,, $417, $7,500",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/22352
Energy-Efficient New Homes Tax Credit for Home Builders,Florida,,,Tax Credits,Federal,"Note: Section 70508 of The One Big Beautiful Bill ( OBBB ) repealed this tax credit for homes constructed and acquired after June 30, 2026. Tax Credit for homes constructed and acquired before January 1, 2023: The federal Energy Policy Act of 2005 established tax credits of up to $2,000 for builders of all new energy-efficient homes, including manufactured homes constructed in accordance with the Federal Manufactured Homes Construction and Safety Standards. Initially scheduled to expire at the end of 2007, the tax credit was extended several times The home qualifies for the credit if: It is located in the United States; Its construction is substantially completed before December 31, 2021; It meets the energy saving requirements outlined in the statute; and It is acquired from the eligib...",,"$2,000, $2,000, $2,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/1272
Qualified Commercial Clean Vehicle Tax Credit,Florida,,,Tax Credits,Federal,"Note: Section 70503 of The One Big Beautiful Bill ( OBBB ) repealed this tax credit for equipment placed in service after September 30, 2025. Section 13403 of The Inflation Reduction Act of 2022 ( H.R. 5376 ) established a tax credit for qualified commercial clean vehicles purchased on or after January 1, 2023. To qualify, the vehicle must have a gross vehicle weight rating of less than 14,000 pounds and have a battery rating of not less than 7 kilowatt hours. Mobile machinery, as defined in section 4053(8) (including vehicles that are not designed to perform a function of transporting a load over the public highways) can exceed the 14,000 pound weight limit, but must have a battery capacity of not less than 15 kilowatt hours. The tax credit is worth the lesser of: 30% of the cost for a...",,"$7,500, $40,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/22473
Residential Renewable Energy Tax Credit,Florida,,,Tax Credits,Federal,"Note: Section 70506 of The One Big Beautiful Bill ( OBBB ) repealed this tax credit for any expenditures made after December 31, 2025. A taxpayer may claim a credit for a system that serves a dwelling unit located in the United States that is owned and used as a residence by the taxpayer. Expenditures with respect to the equipment are treated as made when the installation is completed. If the installation is at a new home, the ""placed in service"" date is the date of occupancy by the homeowner. Expenditures include labor costs for on-site preparation, assembly or original system installation, and for piping or wiring to interconnect a system to the home. If the federal tax credit exceeds tax liability, the excess amount may be carried forward to the succeeding taxable year. The maximum a...",,"$500 per half, $1,667 per 0",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/1235
Residential Energy Efficiency Tax Credit,Florida,,,Tax Credits,Federal,"Note: Section 70505 of The One Big Beautiful Bill ( OBBB ) repealed this tax credit for equipment placed in service after December 31, 2025. Property placed in service after 12/31/2022 and before 1/1/2026: H.R. 5376 of 2022 modified the value of this tax credit, making it 30% of the cost of an item or improvement. Each item or improvement has a separate tax credit cap as shown below, and a taxpayer cannot claim more than $1,200 in total tax credits per year, except as specified. Building Envelope Improvements Owners of existing homes may receive a tax credit worth 30% of the cost of upgrading the efficiency of the building's envelope. Installation (labor) costs are not included and, the improvement must meet the specified efficiency standards. The following improvements are eligible for...",,"$1,200, $600, $250",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/1274
Energy-Efficient Commercial Buildings Tax Deduction,Florida,,,Tax Credits,Federal,"Note: Section 70507 of The One Big Beautiful Bill ( OBBB ) repealed this tax credit for property the construction of which begins after June 30, 2026. The federal Energy Policy Act of 2005 established a tax deduction for energy-efficient commercial buildings applicable to qualifying systems and buildings placed in service from January 1, 2006, through December 31, 2007. This deduction was subsequently extended several times, and is now permanent. A tax deduction is available to owners of qualified commercial buildings and designers of energy efficient commercial building property (EECBP) or energy efficient commercial building retrofit property (EEBRP) installed in buildings owned by specified tax-exempt entities, including certain government entities, Indian tribal governments, Alaska...",,"$0.50 per square, $0.02 per square, $1.00 per square",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/1271
Renewable Electricity Production Tax Credit (PTC),Florida,,,Tax Credits,Federal,"Note: The One Big Beautiful Bill ( OBBB ) made significant changes to this tax credit. To qualify for the tax credit, solar and wind energy systems must be either placed in service by December 31, 2027, or construction must commence by July 4, 2026. An Executive Order issued on July 7, 2025 directed the Secretary of Treasury to issue new and revised guidance within 45 days ""to ensure that policies concerning the 'beginning of construction' are not circumvented, including by preventing the artificial acceleration or manipulation of eligibility and by restricting the use of broad safe harbors unless a substantial portion of a subject facility has been built."" Additionally, the tax credit is not available for systems that commenced construction after December 31, 2025 if the facility or pr...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/734
Business Energy Investment Tax Credit (ITC),Florida,,,Tax Credits,Federal,"Note: The One Big Beautiful Bill ( OBBB ) made significant changes to this tax credit. To qualify for the tax credit, solar and wind energy systems must be either placed in service by December 31, 2027, or construction must commence by July 4, 2026. An Executive Order issued on July 7, 2025 directed the Secretary of Treasury to issue new and revised guidance within 45 days ""to ensure that policies concerning the 'beginning of construction' are not circumvented, including by preventing the artificial acceleration or manipulation of eligibility and by restricting the use of broad safe harbors unless a substantial portion of a subject facility has been built."" Additionally, the tax credit is not available for systems that commenced construction after December 31, 2025 if the facility or pr...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/658
City of Tallahassee Utilities - Residential Energy Efficiency Rebate Program,Florida,,,Rebates,Utility,"City of Tallahassee Utilities (CTU) offers residential customers rebates for ENERGY STAR appliances, Efficient HVAC Systems, ENERGY STAR homes, Solar Water Heaters, and Natural Gas Appliances. Visit the CTU website for more detailed information about any of these rebates.",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/3029
Florida Public Utilities - Residential HVAC Rebate Program,Florida,,,Rebates,Utility,Florida Public Utilities offers rebates to electric residential customers who improve the efficiency of homes. Central air conditioners and heat pumps which meet program requirements are eligible for up to a $100 rebate from FPU. Units must be 15 SEER or higher in order to be eligible. Contact FPU for more information on this program.,,$100,,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/3692
City of Tallahassee Utilities - Solar Water Heating Rebate,Florida,,,Rebates,Utility,"The City of Tallahassee Utilities offers a $450 rebate to homeowners* and homebuilders who install a solar water-heating system. This rebate may be applied to a first-time installation or to the replacement of an older solar water-heating system. Homebuilders may also apply for the rebate when installing a solar water heater on a new home. Pool heating systems are not eligible for the rebate. The homeowner must allow the City of Tallahassee to conduct an energy audit on the home in order to make a preliminary assessment of sun exposure and to provide program guidance. All solar water heating equipment must be indirect and freeze protected, certified by the Florida Solar Energy Center (FSEC), and installed by a state-licensed solar or plumbing contractor. For installations arranged by ho...",,$450,,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/2847
"Clay Electric Cooperative, Inc - Energy Conservation Loans",Florida,,,Finance Solutions,Utility,"Clay Electric Cooperative, Inc., headquartered in Keystone Heights, Florida, is one of the largest member-owned, not-for-profit electric utilities in the U.S., serving members across six district offices. Formed in 1937, the co-op is known for excellent service and is part of the Touchstone Energy® alliance. Governed by a nine-member board of trustees elected by the membership, the co-op holds an annual meeting each year, with the 2025 gathering held on March 29 in Keystone Heights. Clay Electric offers Energy Conservation Loans of up to $10,000 to help members finance energy efficiency improvements such as high-efficiency heat pumps, insulation, solar water heating, and more. To qualify, members must have at least one year of service, a good credit and payment history, and complete an...",,"$10,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/3060
Fort Pierce Utilities Authority - Residential Energy Efficiency Rebate Program,Florida,,,Rebates,Utility,"Fort Pierce Utilities Authority offers a variety of incentives for their residential customers to save energy in their homes. Rebates are available for room A/C units, insulation upgrades, central A/C, refrigerators, and clothes dryers. All of the equipment must meet certain energy efficiency standards listed on the program web site. Applications for the various rebates are located on the program web site. Once application forms are received and processed, rebates will be paid in the form of a credit on one or more of the customer’s monthly electric consumption bills.",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/3619
New Smyrna Beach - Energy Efficiency Rebate Program,Florida,,,Rebates,Utility,The Utilities Commission of New Smyrna Beach (UCNSB) is offering rebates to residential customers for the purchase of a variety of energy efficiency improvements. See website for details.,,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/3335
USDA - High Energy Cost Grant Program,Florida,,,Grants,Federal,"NOTE: The most recent solicitation for this program closed February 28, 2025. Please check the program website for information on future solicitations. The U.S. Department of Agriculture (USDA) offers an ongoing grant program for the improvement of energy generation, transmission, and distribution facilities in rural communities. This program began in 2000. Eligibility is limited to projects in communities that have average home energy costs at least 275% above the national average. Retail power suppliers serving rural areas are eligible to apply for grant funding, including non-profits (cooperatives and limited dividend or mutual associations), commercial entities, state and local governments entities, and tribal governments. Under the most recent solicitation for projects, a total of...",,"$7, $100,000, $3",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/4359
Energy-Efficient Mortgages,Florida,,,Finance Solutions,Federal,"Homeowners can take advantage of energy efficient mortgages (EEM) to either finance energy efficiency improvements to existing homes, including renewable energy technologies, or to increase their home buying power with the purchase of a new energy efficient home. The U.S. federal government supports these loans by insuring them through Federal Housing Authority (FHA) or Veterans Affairs (VA) programs. This allows borrowers who might otherwise be denied loans to pursue energy efficiency, and it secures lenders against loan default. FHA Energy Efficient Mortgages The FHA allows lenders to add up to 100% of energy efficiency improvements to an existing mortgage loan with certain restrictions. FHA mortgage limits vary by county, state and the number of units in a dwelling. See their website...",,"$8,000, $3,000, $6,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/742
Fannie Mae Green Financing – Loan Program,Florida,,,Finance Solutions,Federal,"NOTE: Only multifamily properties are eligible for the program. Single family homeowners are not eligible for this program. The Fannie Mae Green Financing Business provides mortgage financing to apartment buildings and cooperatives (with 5 or more units) to finance energy and water efficiency property improvements. Its green financing programs include Green Rewards, and preferential pricing for loans secured by a property with an eligible Green Building Certification. All Fannie Mae green loans are securitized as Green Mortgage Backed Securities (Green MBS). To learn more about these programs, multifamily property owners should coordinate with a Fannie Mae DUS Lender: https://multifamily.fanniemae.com/about-multifamily/our-partners/dus-lenders Green Rewards , launched in 2015, provides...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/5780
Office of Indian Energy Policy and Programs - Funding Opportunities,Florida,,,Grants,Federal,"The U.S. Department of Energy's (DOE) Office of Indian Energy Policy and Programs promotes tribal energy sufficiency, economic growth, and employment on tribal lands through the development of renewable energy and energy efficiency technologies. The program provides financial assistance, technical assistance, and education and training to tribes for the evaluation and development of renewable energy resources and energy efficiency measures. DOE's program offerings consist of program management through DOE headquarters, program implementation and project management through DOE's field offices, and technical support through DOE laboratories. Program management is carried out by DOE's Weatherization and Intergovernmental Program, which provides programmatic direction and funding to DOE fie...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/918
"USDA - Biorefinery, Renewable Chemical, and Biobased Product Manufacturing Assistance Program",Florida,,,Finance Solutions,Federal,"Note: Applications are accepted year round. Financial investment decisions are made twice a year. See program website to learn more about the current status. USDA Rural Development is offering loan guarantees for the development, construction, and retrofitting of commercial-scale biorefineries. Eligible borrowers include individuals, entities, Indian tribes, state or local governments, corporations, farm cooperatives or farm cooperative organizations, associations of agricultural producers, National Laboratories, institutions of higher education, rural electric cooperatives, public power entities, and consortium of any of these types of entities. Financed entities must provide at least 20% of the financing for eligible project costs, and applications for funding must include an independ...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/5313
Duke Energy - Park and Plug Program,Florida,,,Rebates,Utility,"Note: Program is currently accepting applications Through the Park and Plug Program, Duke Energy will provide the equipment, installation, warranty and network connection services free of charge. This program has installed more than 600 new EV charging locations across the state. For more information, visit the program website.",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/22305
Orlando Utilities Commission - Electric Vehicle Rebate Program,Florida,,,Rebates,Utility,Customers of the Orlando Utilities Commission are eligible to receive a $200 rebate for the purchase or lease of a plug-in electric vehicle. Visit the program website for more information.,,$200,,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/22307
Duke Energy Florida - Smart $aver Commercial Energy Efficiency Rebate Program,Florida,,,Rebates,Utility,"Duke Energy Florida offers incentives to its business customers for replacing their old equipment with high-efficiency models, and for making improvements to their existing equipment. Interested customers should refer to the program website and related brochures for more details including incentive levels and equipment requirements.",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/1421
